name,price,ncomments,breakfast,cancel,rooms,distance,score_review,stars
Sheraton Grand Beijing Dongcheng Hotel,208,101,FALSE,FALSE,FALSE,6,8.3,5
Hotel Éclat Beijing,204,478,TRUE,FALSE,FALSE,5,9.3,5
Beijing Shichahai Shadow Art Performance Hotel,67,564,FALSE,FALSE,TRUE,2.8,8.5,4
Hotel Éclat Beijing,204,478,TRUE,FALSE,FALSE,5,9.3,5
Stey Sanlitun Boutique Hotel,193,7,FALSE,FALSE,TRUE,6,10,5
Holiday Inn Beijing Deshengmen,106,178,FALSE,FALSE,FALSE,4.9,8,4
Peking Youth Hostel,53,489,FALSE,FALSE,TRUE,2.6,8.5,0
Beijing Shichahai Shadow Art Performance Hotel,67,564,FALSE,FALSE,TRUE,2.8,8.5,4
Novotel Beijing Xinqiao,90,1026,FALSE,FALSE,FALSE,2.6,7.8,4
Hotel Nikko New Century Beijing,101,86,FALSE,FALSE,FALSE,5,7.3,5
Ming Courtyard,36,687,FALSE,FALSE,TRUE,3.8,7.6,3
Ritan Hotel Downtown Beijing,95,197,TRUE,FALSE,FALSE,4.5,7.7,5
Beijing Downtown Travelotel,59,319,FALSE,FALSE,TRUE,2.8,9.4,3
Grand Metropark Yuantong Hotel Beijing,113,57,FALSE,FALSE,FALSE,3.5,8.2,5
Mercure Beijing Chang An West,92,55,TRUE,FALSE,TRUE,9,6.7,4
Crowne Plaza Beijing Sun Palace,146,153,FALSE,FALSE,FALSE,7,8.6,5
Marco Polo Parkside  Beijing,121,237,FALSE,FALSE,FALSE,10,8.1,5
Gehua New Century Hotel Beijing,149,38,FALSE,FALSE,FALSE,5,8,4
Ascott Riverside Garden Beijing,119,87,TRUE,FALSE,FALSE,9,8.3,4
Lee Garden Service Apartment,123,208,FALSE,FALSE,FALSE,2,8.9,5
Hilton Beijing Tongzhou,113,0,FALSE,FALSE,FALSE,22,NA,5
Sofitel Beijing Central,178,94,FALSE,FALSE,FALSE,4,8.1,5
SonGy Hotel Beijing,117,199,FALSE,FALSE,TRUE,3.2,9.2,0
Hotel New Otani Chang Fu Gong,114,512,FALSE,FALSE,FALSE,4,8.5,5
SonGy Hotel Beijing-Drum Tower,128,6,TRUE,FALSE,FALSE,3,9.2,4
Beijing Heyuan Courtyard Hotel (Forbidden City),100,22,TRUE,FALSE,TRUE,2.8,9.4,5
Pan Pacific Beijing,199,994,FALSE,FALSE,FALSE,1.8,9.1,5
