name,price,ncomments,breakfast,cancel,rooms,distance,score_review,stars
GreenTree Inn Beijing Xicheng District Caishikou Express Hotel,49,11,FALSE,FALSE,TRUE,2.5,7.7,3
Beijing·Xicheng·Taoranting·Tiantan,97,0,FALSE,FALSE,TRUE,3.9,NA,0
Beijing Changping·Wudaokou·,124,0,FALSE,FALSE,TRUE,18,NA,0
Beijing Haidian · Zhichun Li ·,121,0,FALSE,FALSE,TRUE,8,NA,0
Haoyang Goodnight Hotel (Beijing Tian'anmen Square Branch),127,0,FALSE,FALSE,TRUE,1.7,NA,0
Manxin Hotel Beijing Zhushikou,254,0,FALSE,FALSE,FALSE,3,NA,5
Holiday Inn Express Beijing Airport Zone,62,177,TRUE,FALSE,FALSE,16,8.2,3
Beijing Haidian District Qinghua University,122,0,FALSE,FALSE,TRUE,11,NA,0
Beijing Fengtai Mu Xiyuan subway station,114,0,FALSE,FALSE,TRUE,6,NA,0
Huguosi Hotel,56,42,FALSE,FALSE,FALSE,2.8,8.2,2
Beijing Yinxingshu Apartment,80,42,FALSE,FALSE,TRUE,7,7,3
Mr Xin‘s Apartment,104,0,FALSE,FALSE,FALSE,10,NA,0
Beijing Dong Chang'an Hotel,48,86,FALSE,FALSE,FALSE,5,5.7,3
Beijing 5L Hotel,75,59,FALSE,FALSE,FALSE,5,7.2,4
Beijing Mushage Boya Hotel,1119,0,FALSE,FALSE,TRUE,13,NA,4
Beijing Chenghui Business Hotel,141,0,FALSE,FALSE,TRUE,8,NA,3
Beijing Dongcheng·Tiananmen Square· Locals Apartment 00114060,113,0,FALSE,FALSE,TRUE,4.2,NA,0
GreenTree Inn BeiJing Haidian District QingHeqiao Business Hotel,42,27,FALSE,FALSE,FALSE,14,6.8,3
LOCALS·Beijingchaoyangqu·Shilihe·Locals Apartment·00185930,119,0,FALSE,FALSE,TRUE,8,NA,0
Beijing Haidian ·Zhongguancun·renmingdaxue·,172,0,FALSE,FALSE,FALSE,9,NA,0
Beijing Chaoyang·Beijing National Stadium· Locals Apartment 00137460,123,0,TRUE,FALSE,TRUE,15,NA,0
Beijing Chaoyang·Happy Valley·,151,0,TRUE,FALSE,FALSE,9,NA,0
Jinjiang Inn Beijing Happy Valley Nanlouzizhuang Subway Station,37,9,FALSE,FALSE,TRUE,10,6.3,3
Beijing Chaoyang·Joy City· Locals Apartment 00173810,89,0,TRUE,FALSE,TRUE,10,NA,0
Beijing Youth Road  Passenger Boarding House ,145,0,FALSE,FALSE,TRUE,10,NA,0
Aerotel Beijing Daxing International Airport,427,38,TRUE,FALSE,FALSE,44,6.6,4
P.Loft Youth Hostel,20,100,FALSE,FALSE,FALSE,4.4,7,2
Floral Hotel Xianju Chanting Great Wall Branch,171,0,TRUE,FALSE,FALSE,59,NA,4
